subset_name,perturbation_type,perturbation_level,perturbation_level_label,top_k_used,metric_name,n,median,mean,sd,q1,q3,iqr
strict,position,5.0,medium,3,matched_duration_fraction,70,1.0,1.0,0.0,1.0,1.0,0.0
strict,position,5.0,medium,3,mean_absolute_rank_shift,70,0.0,0.04081632653061224,0.10070105383574877,0.0,0.0,0.0
strict,position,5.0,medium,3,phase_contrast_abs_deviation,70,0.005183043085383143,0.006943418479371742,0.006484562071402934,0.0,0.012502941631612696,0.012502941631612696
strict,position,5.0,medium,3,rank_spearman,70,1.0,0.9948979591836734,0.012587631729468498,1.0,1.0,0.0
strict,position,5.0,medium,3,run_rank_shift_abs,70,0.0,0.14285714285714285,0.3524536884251207,0.0,0.0,0.0
strict,position,5.0,medium,3,segmentation_stability,70,1.0,1.0,0.0,1.0,1.0,0.0
strict,position,5.0,medium,3,top_k_consistency,70,1.0,1.0,0.0,1.0,1.0,0.0
strict,position,5.0,medium,3,vertical_drop_abs_error_m,70,6.27294921875,7.79952392578125,5.593175841775701,2.5281982421875,13.4832763671875,10.955078125
strict,position,10.0,high,3,boundary_shift_mean_s,70,0.0,0.0,0.0,0.0,0.0,0.0
strict,position,10.0,high,3,cl_alpha_abs_deviation,70,0.022786057711438268,0.02975364221356089,0.023145419165060487,0.011148250393260867,0.04506628166925425,0.03391803127599338
strict,position,10.0,high,3,matched_duration_fraction,70,1.0,1.0,0.0,1.0,1.0,0.0
strict,position,10.0,high,3,mean_absolute_rank_shift,70,0.0,0.04081632653061224,0.10070105383574877,0.0,0.0,0.0
strict,position,10.0,high,3,phase_contrast_abs_deviation,70,0.004532888117237316,0.006284761402165717,0.006415432025098987,0.0,0.012217846716514214,0.012217846716514214
strict,position,10.0,high,3,rank_spearman,70,1.0,0.9948979591836734,0.012587631729468498,1.0,1.0,0.0
strict,position,10.0,high,3,run_rank_shift_abs,70,0.0,0.14285714285714285,0.3524536884251207,0.0,0.0,0.0
strict,position,10.0,high,3,segmentation_stability,70,1.0,1.0,0.0,1.0,1.0,0.0
strict,position,10.0,high,3,top_k_consistency,70,1.0,1.0,0.0,1.0,1.0,0.0
strict,position,10.0,high,3,vertical_drop_abs_error_m,70,5.5538330078125,7.252099609375,5.641423126653483,2.717254638671875,10.984375,8.267120361328125
strict,sampling,2.0,low,3,boundary_shift_mean_s,70,0.0,0.14407142857142854,0.22944173403452603,0.0,0.504,0.504
strict,sampling,2.0,low,3,cl_alpha_abs_deviation,70,0.03231175869549341,0.04518873764392706,0.029474622550783158,0.022786057711438268,0.08209287838050883,0.05930682066907056
strict,sampling,2.0,low,3,matched_duration_fraction,70,1.0,0.9987887520862935,0.0022187049462575477,0.99779676465381,1.0,0.0022032353461900467
strict,sampling,2.0,low,3,mean_absolute_rank_shift,70,0.0,0.04081632653061224,0.10070105383574877,0.0,0.0,0.0
strict,sampling,2.0,low,3,phase_contrast_abs_deviation,70,0.012502941631612696,0.011450777005963808,0.010542869390681437,0.0,0.016155879347746704,0.016155879347746704
strict,sampling,2.0,low,3,rank_spearman,70,1.0,0.9948979591836734,0.012587631729468498,1.0,1.0,0.0
strict,sampling,2.0,low,3,run_rank_shift_abs,70,0.0,0.14285714285714285,0.3524536884251207,0.0,0.0,0.0
strict,sampling,2.0,low,3,segmentation_stability,70,1.0,0.9987887520862935,0.0022187049462575477,0.99779676465381,1.0,0.0022032353461900467
strict,sampling,2.0,low,3,top_k_consistency,70,1.0,1.0,0.0,1.0,1.0,0.0
strict,sampling,2.0,low,3,vertical_drop_abs_error_m,70,7.8756103515625,10.604963030133929,6.528446921337465,5.5538330078125,18.9095458984375,13.355712890625
strict,sampling,3.0,medium,3,boundary_shift_mean_s,70,0.5065,0.6116428571428572,0.3774250779174507,0.503,1.0155,0.5125000000000001
strict,sampling,3.0,medium,3,cl_alpha_abs_deviation,70,0.06674233433869423,0.0725413217409166,0.03690324866812049,0.03750882489483831,0.11004895771436574,0.07254013281952743
strict,sampling,3.0,medium,3,matched_duration_fraction,70,0.9976446680679302,0.9953115442926592,0.004909208913068704,0.9925374779541446,0.99779676465381,0.005259286699665355
strict,sampling,3.0,medium,3,mean_absolute_rank_shift,70,0.0,0.04081632653061224,0.10070105383574877,0.0,0.0,0.0
strict,sampling,3.0,medium,3,phase_contrast_abs_deviation,70,0.012502941631612696,0.016886029198487123,0.015244076223478722,0.0,0.03337116716934713,0.03337116716934713
strict,sampling,3.0,medium,3,rank_spearman,70,1.0,0.9948979591836734,0.012587631729468498,1.0,1.0,0.0
strict,sampling,3.0,medium,3,run_rank_shift_abs,70,0.0,0.14285714285714285,0.3524536884251207,0.0,0.0,0.0
strict,sampling,3.0,medium,3,segmentation_stability,70,0.9976446680679302,0.9953115442926592,0.004909208913068704,0.9925374779541446,0.99779676465381,0.005259286699665355
strict,sampling,3.0,medium,3,top_k_consistency,70,1.0,1.0,0.0,1.0,1.0,0.0
strict,sampling,3.0,medium,3,vertical_drop_abs_error_m,70,14.38671875,15.357822963169642,8.549105158910791,6.27294921875,25.6851806640625,19.4122314453125
strict,sampling,5.0,high,3,boundary_shift_mean_s,70,1.0070000000000001,0.7948571428571428,0.6597108344518587,0.0,1.0155,1.0155
strict,sampling,5.0,high,3,cl_alpha_abs_deviation,70,0.12339850003572439,0.10499914273939215,0.054145201409483264,0.051696209620196554,0.14447434586544072,0.09277813624524417
strict,sampling,5.0,high,3,matched_duration_fraction,70,0.9954405092865098,0.9950226749012077,0.003973435024792272,0.9925374779541446,1.0,0.007462522045855402
strict,sampling,5.0,high,3,mean_absolute_rank_shift,70,0.0,0.08163265306122448,0.13000450148379716,0.0,0.2857142857142857,0.2857142857142857
strict,sampling,5.0,high,3,phase_contrast_abs_deviation,70,0.017232069873398814,0.028410457802910107,0.030700999889417987,0.0,0.04815811528848013,0.04815811528848013
strict,sampling,5.0,high,3,rank_spearman,70,1.0,0.989795918367347,0.016250562685474524,0.9642857142857145,1.0,0.035714285714285476
strict,sampling,5.0,high,3,run_rank_shift_abs,70,0.0,0.2857142857142857,0.45501575519329,0.0,1.0,1.0
